Player Id,Player Surname,Player Other Names,Is Batter,Batter Hand Id,Batter Hand,Is Bowler,Bowler Hand Id,Bowler Hand,Pace/Spin,Bowler Style,Is Keeper,Gender Id,Gender
5,Razzaq,Abdul,Y,1,Right,Y,1,Right,Pace,Medium,N,1,Male
11,Mahmood,Azhar,Y,1,Right,Y,1,Right,Pace,Fast-Medium,N,1,Male
16,Raza,Hasan,Y,1,Right,Y,1,Right,Pace,Medium,N,1,Male
17,Ali,Ghulam,Y,1,Right,Y,1,Right,Pace,Medium,N,1,Male
18,Ahmad,Ijaz,Y,1,Right,Y,1,Right,Pace,Medium,N,1,Male
20,Blewett,Greg,Y,1,Right,Y,1,Right,Pace,Medium,N,1,Male
21,Bichel,Andrew,Y,1,Right,Y,1,Right,Pace,Fast-Medium,N,1,Male
22,Bevan,Michael,Y,2,Left,Y,2,Left,Spin,Wrist,N,1,Male
23,Dale,Adam,Y,2,Left,Y,1,Right,Pace,Medium,N,1,Male
25,Elliott,Matthew,Y,2,Left,Y,2,Left,Spin,Orthodox,N,1,Male
26,Fleming,Damien,Y,1,Right,Y,1,Right,Pace,Fast-Medium,N,1,Male
27,Gilchrist,Adam,Y,2,Left,Y,2,Left,Pace,Medium,N,1,Male
28,Unknown,,Y,1,Right,Y,1,Right,Pace,Fast-Medium,N,1,Male
29,Harvey,Ian,Y,1,Right,Y,1,Right,Pace,Medium,N,1,Male
30,Hayden,Matthew,Y,2,Left,Y,1,Right,Pace,Medium,N,1,Male
31,Healy,Ian,Y,1,Right,Y,1,Right,Pace,Medium,Y,1,Male
32,Hogg,Brad,Y,2,Left,Y,2,Left,Spin,Wrist,N,1,Male
35,Hamid,Mahmood,Y,1,Right,Y,1,Right,Pace,Medium,N,1,Male
36,Akhtar,Manzoor,Y,1,Right,Y,1,Right,Pace,Medium,N,1,Male
40,Wasim,Mohammad,Y,1,Right,Y,1,Right,Pace,Medium,N,1,Male
41,Akram,Mohammad,Y,1,Right,Y,1,Right,Pace,Medium,N,1,Male
44,Ahmed,Mushtaq,Y,1,Right,Y,1,Right,Pace,Medium,N,1,Male
46,Khan,Moin,Y,1,Right,Y,1,Right,Pace,Medium,N,1,Male
49,Latif,Rashid,Y,1,Right,Y,2,Left,Pace,Medium,N,1,Male
