,id,popularity,title,vote_average,vote_count,year,month,day,director_name,gender,revenue_Mdollars,budget_Mdollars
0,43597,150,Avatar,7.2,11800,2009,Dec,Thursday,James Cameron,Male,2787.97,237.0
1,43598,139,Pirates of the Caribbean: At World's End,6.9,4500,2007,May,Saturday,Gore Verbinski,Male,961.0,300.0
2,43599,107,Spectre,6.3,4466,2015,Oct,Monday,Sam Mendes,Male,880.67,245.0
3,43600,112,The Dark Knight Rises,7.6,9106,2012,Jul,Monday,Christopher Nolan,Male,1084.94,250.0
4,43602,115,Spider-Man 3,5.9,3576,2007,May,Tuesday,Sam Raimi,Male,890.87,258.0
5,43606,155,Batman v Superman: Dawn of Justice,5.7,7004,2016,Mar,Wednesday,Zack Snyder,Male,873.26,250.0
6,43607,57,Superman Returns,5.4,1400,2006,Jun,Wednesday,Bryan Singer,Male,391.08,270.0
7,43608,107,Quantum of Solace,6.1,2965,2008,Oct,Thursday,Marc Forster,Male,586.09,200.0
8,43609,145,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,2006,Jun,Tuesday,Gore Verbinski,Male,1065.66,200.0
9,43610,49,The Lone Ranger,5.9,2311,2013,Jul,Wednesday,Gore Verbinski,Male,89.29,255.0
10,43611,99,Man of Steel,6.5,6359,2013,Jun,Wednesday,Zack Snyder,Male,662.85,225.0
11,43612,53,The Chronicles of Narnia: Prince Caspian,6.3,1630,2008,May,Thursday,Andrew Adamson,Male,419.65,225.0
12,43614,135,Pirates of the Caribbean: On Stranger Tides,6.4,4948,2011,May,Saturday,Rob Marshall,Male,1045.71,380.0
13,43615,52,Men in Black 3,6.2,4160,2012,May,Wednesday,Barry Sonnenfeld,Male,624.03,225.0
14,43616,120,The Hobbit: The Battle of the Five Armies,7.1,4760,2014,Dec,Wednesday,Peter Jackson,Male,956.02,250.0
15,43618,37,Robin Hood,6.2,1398,2010,May,Wednesday,Ridley Scott,Male,310.67,200.0
16,43619,94,The Hobbit: The Desolation of Smaug,7.6,4524,2013,Dec,Wednesday,Peter Jackson,Male,958.4,250.0
17,43620,42,The Golden Compass,5.8,1303,2007,Dec,Tuesday,Chris Weitz,,372.23,180.0
18,43621,61,King Kong,6.6,2337,2005,Dec,Wednesday,Peter Jackson,Male,550.0,207.0
19,43622,100,Titanic,7.5,7562,1997,Nov,Tuesday,James Cameron,Male,1845.03,200.0
20,43624,64,Battleship,5.5,2114,2012,Apr,Wednesday,Peter Berg,Male,303.03,209.0
21,43626,93,Skyfall,6.9,7604,2012,Oct,Thursday,Sam Mendes,Male,1108.56,200.0
